tweet_id,tweet_date,text,name,rating_numerator,tweet_year,tweet_month,tweet_day,dogs_stage,breed_dog,dog_image,favorite_count,retweet_count
890240255349198849,2017-07-26,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,Cassie,14.0,2017,7,26,doggo,pembroke,DFrEyVuW0AAO3t9.jpg,29839.0,6674.0
758828659922702336,2016-07-29,This doggo is just waiting for someone to be proud of her and her accomplishment. 13/10 legendary af https://t.co/9T2h14yn4Q,None,13.0,2016,7,29,doggo,chesapeake bay retriever,Cofmom_VUAA4dRO.jpg,11241.0,3854.0
759793422261743616,2016-07-31,"Meet Maggie &amp; Lila. Maggie is the doggo, Lila is the pupper. They are sisters. Both 12/10 would pet at the same time https://t.co/MYwR4DQKll",Maggie,12.0,2016,7,31,doggo,golden retriever,CotUFZEWcAA2Pku.jpg,5977.0,1926.0
760521673607086080,2016-08-02,"Doggo want what doggo cannot have. Temptation strong, dog stronger. 12/10  https://t.co/IqyTF6qik6",None,12.0,2016,8,2,doggo,,,4232.0,1393.0
760893934457552897,2016-08-03,This is Wishes. He has the day off. Daily struggles of being a doggo have finally caught up with him. 11/10 https://t.co/H9YgrUkYwa,Wishes,11.0,2016,8,3,doggo,blenheim spaniel,Co88_ujWEAErCg7.jpg,3823.0,985.0
763956972077010945,2016-08-12,@TheEllenShow I'm not sure if you know this but that doggo right there is a 12/10,None,12.0,2016,8,12,doggo,,,762.0,55.0
767191397493538821,2016-08-21,I don't know any of the backstory behind this picture but for some reason I'm crying. 13/10 for owner and doggo https://t.co/QOKZdus9TT,None,13.0,2016,8,21,doggo,,,12387.0,3795.0
768193404517830656,2016-08-23,Meet Gerald. He's a fairly exotic doggo. Floofy af. Inadequate knees tho. Self conscious about large forehead. 8/10 https://t.co/WmczvjCWJq,Gerald,8.0,2016,8,23,doggo,,,10947.0,3572.0
770093767776997377,2016-08-29,RT @dog_rates: This is just downright precious af. 12/10 for both pupper and doggo https://t.co/o5J479bZUC,just,12.0,2016,8,29,doggo,golden retriever,CkjMx99UoAM2B1a.jpg,0.0,3088.0
770743923962707968,2016-08-30,RT @dog_rates: Here's a doggo blowing bubbles. It's downright legendary. 13/10 would watch on repeat forever (vid by Kent Duryee) https://t…,None,13.0,2016,8,30,doggo,,,,
771908950375665664,2016-09-03,"Doggo will persevere. 13/10
https://t.co/yOVzAomJ6k",None,13.0,2016,9,3,doggo,,,6643.0,1928.0
757393109802180609,2016-07-25,Here's a doggo completely oblivious to the double rainbow behind him. 10/10 someone tell him https://t.co/OfvRoD6ndV,None,10.0,2016,7,25,doggo,labrador retriever,CoLNAq6WAAAkmdJ.jpg,5832.0,1745.0
772877495989305348,2016-09-05,You need to watch these two doggos argue through a cat door. Both 11/10 https://t.co/qEP31epKEV,None,11.0,2016,9,5,doggo,norwegian elkhound,t8gbjy2rA19xtQYR.jpg,8641.0,3921.0
775733305207554048,2016-09-13,This is Anakin. He strives to reach his full doggo potential. Born with blurry tail tho. 11/10 would still pet well https://t.co/9CcBSxCXXG,Anakin,11.0,2016,9,13,doggo,,,14005.0,4034.0
775898661951791106,2016-09-14,"RT @dog_rates: Like father (doggo), like son (pupper). Both 12/10 https://t.co/pG2inLaOda",None,12.0,2016,9,14,doggo,golden retriever,CiyHLocU4AI2pJu.jpg,0.0,16724.0
777953400541634568,2016-09-19,RT @dog_rates: Meet Gerald. He's a fairly exotic doggo. Floofy af. Inadequate knees tho. Self conscious about large forehead. 8/10 https://…,Gerald,8.0,2016,9,19,doggo,,,0.0,3572.0
780074436359819264,2016-09-25,Here's a doggo questioning his entire existence. 10/10 someone tell him he's a good boy  https://t.co/dVm5Hgdpeb,None,10.0,2016,9,25,doggo,,,12323.0,5052.0
781308096455073793,2016-09-29,"Pupper butt 1, Doggo 0. Both 12/10 https://t.co/WQvcPEpH2u",None,12.0,2016,9,29,doggo,,,7233.0,2588.0
781655249211752448,2016-09-30,This is Combo. The daily struggles of being a doggo have finally caught up with him. 11/10 https://t.co/LOKrNo0OM7,Combo,11.0,2016,9,30,doggo,,,4035.0,1143.0
782305867769217024,2016-10-01,This is Sampson. He just graduated. Ready to be a doggo now. Time for the real world. 12/10 have fun with taxes https://t.co/pgVKxRw0s1,Sampson,12.0,2016,10,1,doggo,briard,CttPBt0WIAAcsDE.jpg,16880.0,5660.0
782747134529531904,2016-10-03,This is Deacon. He's the happiest almost dry doggo I've ever seen. 11/10 would smile back https://t.co/C6fUMnHt1H,Deacon,11.0,2016,10,3,doggo,golden retriever,CtzgXgeXYAA1Gxw.jpg,7578.0,1435.0
785639753186217984,2016-10-11,This is Pinot. He's a sophisticated doggo. You can tell by the hat. Also pointier than your average pupper. Still 10/10 would pet cautiously https://t.co/f2wmLZTPHd,Pinot,10.0,2016,10,11,doggo,,,7963.0,2276.0
786363235746385920,2016-10-13,This is Rizzo. He has many talents. A true renaissance doggo. 13/10 entertaining af https://t.co/TVXpEJB7Wn,Rizzo,13.0,2016,10,13,doggo,golden retriever,Cum5LlfWAAAyPcS.jpg,11062.0,3574.0
775364825476165632,2016-09-12,This is Finley. He's an independent doggo still adjusting to life on his own. 11/10 https://t.co/7FNcBaKbci,Finley,11.0,2016,9,12,doggo,beagle,CsKmMB2WAAAXcAy.jpg,7467.0,3005.0
756526248105566208,2016-07-22,All hail sky doggo. 13/10 would jump super high to pet https://t.co/CsLRpqdeTF,None,13.0,2016,7,22,doggo,,,10433.0,3604.0
755206590534418437,2016-07-19,This is one of the most inspirational stories I've ever come across. I have no words. 14/10 for both doggo and owner https://t.co/I5ld3eKD5k,one,14.0,2016,7,19,doggo,,,16471.0,5387.0
753420520834629632,2016-07-14,Here we are witnessing an isolated squad of bouncing doggos. Unbelievably rare for this time of year. 11/10 for all https://t.co/CCdlwiTwQf,None,11.0,2016,7,14,doggo,,,7919.0,3580.0
716080869887381504,2016-04-02,Here's a super majestic doggo and a sunset 11/10 https://t.co/UACnoyi8zu,None,11.0,2016,4,2,doggo,golden retriever,CfAHv83UMAIEQYx.jpg,6683.0,1882.0
719991154352222208,2016-04-12,This doggo was initially thrilled when she saw the happy cartoon pup but quickly realized she'd been deceived. 10/10 https://t.co/mvnBGaWULV,None,10.0,2016,4,12,doggo,golden retriever,Cf3sH62VAAA-LiP.jpg,4786.0,1726.0
724771698126512129,2016-04-26,Nothin better than a doggo and a sunset. 11/10 https://t.co/JlFqOhrHEs,None,11.0,2016,4,26,doggo,german short-haired pointer,Cg7n_-OU8AA5RR1.jpg,2324.0,633.0
727644517743104000,2016-05-03,Here's a doggo struggling to cope with the winds. 13/10 https://t.co/qv3aUwaouT,None,13.0,2016,5,3,doggo,great pyrenees,Chkc1BQUoAAa96R.jpg,5825.0,1737.0
732375214819057664,2016-05-17,This is Kyle (pronounced 'Mitch'). He strives to be the best doggo he can be. 11/10 would pat on head approvingly https://t.co/aA2GiTGvlE,Kyle,11.0,2016,5,17,doggo,basset,CinrX2EWkAABDYt.jpg,8012.0,2496.0
733109485275860992,2016-05-19,"Like father (doggo), like son (pupper). Both 12/10 https://t.co/pG2inLaOda",None,12.0,2016,5,19,doggo,golden retriever,CiyHLocU4AI2pJu.jpg,49823.0,16723.0
735256018284875776,2016-05-24,This is Kellogg. He accidentally opened the front facing camera. 8/10 get it together doggo https://t.co/MRYv7nDPyS,Kellogg,8.0,2016,5,24,doggo,staffordshire bullterrier,CjQnclkVEAA4pnK.jpg,3301.0,875.0
739238157791694849,2016-06-04,Here's a doggo blowing bubbles. It's downright legendary. 13/10 would watch on repeat forever (vid by Kent Duryee) https://t.co/YcXgHfp1EC,None,13.0,2016,6,4,doggo,eskimo dog,-tLpyiuIzD5zR1et.jpg,115096.0,57589.0
739623569819336705,2016-06-06,Here's a doggo that don't need no human. 12/10 independent af (vid by @MichelleLiuCee) https://t.co/vdgtdb6rON,None,12.0,2016,6,6,doggo,,,3749.0,1345.0
741067306818797568,2016-06-10,This is just downright precious af. 12/10 for both pupper and doggo https://t.co/o5J479bZUC,just,12.0,2016,6,10,doggo,golden retriever,CkjMx99UoAM2B1a.jpg,9461.0,3088.0
742534281772302336,2016-06-14,"For anyone who's wondering, this is what happens after a doggo catches it's tail... 11/10 https://t.co/G4fNhzelDv",None,11.0,2016,6,14,doggo,,,7040.0,3559.0
744234799360020481,2016-06-18,Here's a doggo realizing you can stand in a pool. 13/10 enlightened af (vid by Tina Conrad) https://t.co/7wE9LTEXC4,None,13.0,2016,6,18,doggo,labrador retriever,1GaWmtJtdqzZV7jy.jpg,155780.0,77635.0
745433870967832576,2016-06-22,This is Lenox. She's in a wheelbarrow. Silly doggo. You don't belong there. 10/10 would push around https://t.co/oYbVR4nBsR,Lenox,10.0,2016,6,22,doggo,basset,ClhQJUUWAAEVpBX.jpg,7063.0,2529.0
748692773788876800,2016-07-01,That is Quizno. This is his beach. He does not tolerate human shenanigans on his beach. 10/10 reclaim ur land doggo https://t.co/vdr7DaRSa7,his,10.0,2016,7,1,doggo,,,4238.0,1332.0
749036806121881602,2016-07-02,This is Dietrich. He hops at random. Other doggos don't understand him. It upsets him greatly. 8/10 would comfort https://t.co/U8cSRz8wzC,Dietrich,8.0,2016,7,2,doggo,west highland white terrier,CmUciKgWIAA97sH.jpg,3090.0,795.0
749075273010798592,2016-07-02,This is Boomer. He's self-baptizing. Other doggo not ready to renounce sins. 11/10 spiritually awakened af https://t.co/cRTJiQQk9o,Boomer,11.0,2016,7,2,doggo,,,5749.0,2073.0
750011400160841729,2016-07-04,Meet Piper. She's an airport doggo. Please return your tray table to its full pupright and locked position. 11/10 https://t.co/D17IAcetmM,Piper,11.0,2016,7,4,doggo,boston bull,CmfmvGUWgAAuVKD.jpg,3244.0,908.0
750381685133418496,2016-07-05,"13/10 such a good doggo
@spaghemily",None,13.0,2016,7,5,doggo,,,693.0,27.0
751583847268179968,2016-07-09,Please stop sending it pictures that don't even have a doggo or pupper in them. Churlish af. 5/10 neat couch tho https://t.co/u2c9c7qSg8,None,5.0,2016,7,9,doggo,dalmatian,Cm4phTpWcAAgLsr.jpg,4395.0,1104.0
